state,x,y
JammuKashmir,-98.0,200.0
HimachalPradesh,-82.0,150.0
Uttaranchal,-50.0,118.0
Punjab,-105.0,134.0
Haryana,-95.0,97.0
UttarPradesh,-47.0,77.0
Rajasthan,-138.0,57.0
Gujarat,-172.0,-9.0
Maharastra,-105.0,-65.0
Goa,-130.0,-132.0
Karnataka,-105.0,-148.0
Kerala,-92.0,-213.0
Tamilnadu,-66.0,-205.0
Pondicherry,-41.0,-188.0
AndhraPradesh,-54.0,-139.0
Telangana,-55.0,-87.0
Chattisgarh,-11.0,-36.0
Odisha,35.0,-48.0
MadhyaPradesh,-69.0,-2.0
Bihar,53.0,40.0
Jharkhand,40.0,1.0
WestBengal,85.0,-8.0
Sikkim,95.0,71.0
Meghalaya,142.0,37.0
Assam,156.0,52.0
ArunachalPradesh,187.0,86.0
Nagaland,188.0,46.0
Manipur,181.0,22.0
Mizoram,161.0,-1.0
Tripura,143.0,6.0